user_id,soft_cluster,attraction_id,rating,clicked
10651.0,7.0,227,4.659032318877746,1
10651.0,7.0,91,4.6488225915687575,1
10651.0,7.0,10,4.7918708610277845,1
10651.0,7.0,112,3.7285081791041788,0
10651.0,7.0,216,4.160103032927031,1
2042.0,0.0,230,4.992825608066486,1
2042.0,0.0,58,4.439010735765203,1
2042.0,0.0,250,4.147552090727558,1
2042.0,0.0,46,4.139491177015319,1
2042.0,0.0,219,4.303227108752275,1
8669.0,4.0,238,4.808406026380024,1
8669.0,4.0,216,4.354901913197667,1
8669.0,4.0,58,4.72203758504618,1
8669.0,4.0,222,5.0,1
8669.0,4.0,8,3.756017333516194,0
1115.0,0.0,114,4.345511351047758,1
1115.0,0.0,43,3.942394105976351,0
1115.0,0.0,219,4.162728280018818,1
1115.0,0.0,296,4.747297019712085,1
1115.0,0.0,267,4.384540231611502,1
13903.0,3.0,296,4.446795491361639,1
13903.0,3.0,230,3.905621619547616,0
13903.0,3.0,166,4.168624603652248,1
13903.0,3.0,112,4.029930767611232,1
13903.0,3.0,64,3.9869824414924713,0
11964.0,7.0,10,4.011400469635764,1
11964.0,7.0,47,3.003938816316735,0
11964.0,7.0,34,3.8550224153356814,0
11964.0,7.0,234,4.0661232303345,1
11964.0,7.0,232,3.7988622886426517,0
11073.0,3.0,166,4.9489668162697305,1
11073.0,3.0,219,4.200875058139632,1
11073.0,3.0,153,3.794062575370185,0
11073.0,3.0,287,2.918860927818545,0
11073.0,3.0,74,3.403752725048526,0
3003.0,7.0,290,3.9927210024123823,0
3003.0,7.0,251,3.884913731432606,0
3003.0,7.0,34,4.3588734016138675,1
3003.0,7.0,267,4.300690575298247,1
3003.0,7.0,74,4.14081715393681,1
19772.0,3.0,6,4.462944584920722,1
19772.0,3.0,165,3.6246474712514516,0
19772.0,3.0,235,3.5998234438737877,0
19772.0,3.0,43,3.614705526939928,0
19772.0,3.0,282,4.29862293371679,1
8116.0,7.0,183,4.684036157251366,1
8116.0,7.0,197,4.143660209835837,1
8116.0,7.0,91,4.358775128139249,1
8116.0,7.0,296,3.5972188711031774,0
8116.0,7.0,251,3.8836856672820836,0
3526.0,0.0,222,4.218881907010056,1
3526.0,0.0,120,4.203859523442081,1
3526.0,0.0,114,3.1178526122041736,0
3526.0,0.0,238,4.395724421178,1
3526.0,0.0,250,4.260387991278326,1
7880.0,3.0,74,3.817908570470197,0
7880.0,3.0,183,4.165935152510236,1
7880.0,3.0,238,3.081145086172645,0
7880.0,3.0,290,4.621503305178507,1
7880.0,3.0,282,3.020602335867646,0
16442.0,6.0,250,4.310020009030529,1
